代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳
sz300467,迅游科技,0.0,0.0,0.0,37.16,37.16,37.81,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300468,四方精创,0.0,0.0,0.0,28.5,28.5,28.4,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300469,信息发展,0.0,0.0,0.0,57.0,57.0,55.8,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300470,中密控股,0.0,0.0,0.0,33.36,33.36,33.36,0.0,0.0,0.0,0.0,0.0,09:23:18
sz300471,厚普股份,0.0,0.0,0.0,12.2,12.2,12.07,0.0,0.0,0.0,0.0,0.0,09:23:54
sz300472,*ST新元,0.0,0.0,0.0,8.19,8.19,8.09,0.0,0.0,0.0,0.0,0.0,09:23:54
sz300473,德尔股份,0.0,0.0,0.0,33.3,33.3,33.6,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300474,景嘉微,0.0,0.0,0.0,61.9,61.9,61.72,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300475,香农芯创,0.0,0.0,0.0,176.52,176.52,174.3,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300476,胜宏科技,0.0,0.0,0.0,337.0,337.0,333.87,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300477,ST合纵,0.0,0.0,0.0,2.49,2.49,2.45,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300478,杭州高新,0.0,0.0,0.0,30.2,30.2,29.8,0.0,0.0,0.0,0.0,0.0,09:23:45
sz300479,神思电子,0.0,0.0,0.0,17.24,17.24,17.1,0.0,0.0,0.0,0.0,0.0,09:23:27
sz300480,光力科技,0.0,0.0,0.0,35.8,35.8,36.34,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300481,濮阳惠成,0.0,0.0,0.0,15.36,15.36,15.35,0.0,0.0,0.0,0.0,0.0,09:23:27
sz300482,万孚生物,0.0,0.0,0.0,18.52,18.52,18.65,0.0,0.0,0.0,0.0,0.0,09:23:27
sz300483,首华燃气,0.0,0.0,0.0,23.0,23.0,22.81,0.0,0.0,0.0,0.0,0.0,09:24:03
sz300484,蓝海华腾,0.0,0.0,0.0,16.66,16.66,16.64,0.0,0.0,0.0,0.0,0.0,09:23:45
sz300485,赛升药业,0.0,0.0,0.0,10.82,10.82,11.0,0.0,0.0,0.0,0.0,0.0,09:24:03
